i,U,K,Px,Py,Pz,Ne
0,-59283257.15190537,29641792.331493754,-5305.688953275861,8574.259819911927,-4676.4334954175365,0.0
1,-59281428.82194444,29649697.34999293,-5302.02331305613,8576.367599195646,-4679.4085711409125,0.0
2,-59279412.37325276,29669630.774650306,-5295.69913214578,8575.077213823377,-4678.6502518782645,0.0
3,-59276895.6997819,29721119.32285905,-5291.328343358149,8575.276758442467,-4675.564976340216,0.0
4,-59274355.91687832,29726430.755569667,-5293.38413475517,8578.458654165113,-4672.804461305896,0.0
5,-59270396.1183557,29737464.781899303,-5296.345368099499,8582.356903991495,-4671.664443675271,0.0
6,-59266361.86224222,29752294.387349647,-5297.698360971175,8584.744049497695,-4671.451175517309,0.0
7,-59261638.4055854,29752620.331278376,-5297.751108911082,8585.500610873109,-4672.990591069978,0.0
8,-59256306.14702352,29751987.29603819,-5298.663034815282,8584.557596050401,-4676.761020526085,0.0
9,-59250435.417051256,29752646.550955728,-5298.722658317958,8585.972740226009,-4679.788873234917,0.0
10,-59244855.744769566,29750729.173737943,-5296.060693752693,8587.17594301755,-4681.494264303535,0.0
11,-59238714.31953962,29748467.302417807,-5295.141788905046,8582.9866220455,-4683.431582940994,0.0
12,-59231888.50351438,29747543.81593647,-5296.511962836363,8576.690740180535,-4684.732813826422,0.0
13,-59224258.444222346,29745902.957182158,-5299.240741486031,8572.339675667688,-4682.3414286910975,0.0
14,-59216469.53272056,29744193.40550515,-5301.015510726852,8568.144086695173,-4677.327272333329,0.0
15,-59208418.231963344,29745485.048124373,-5300.678379756919,8563.57671841954,-4672.827165157443,0.0
16,-59199257.57407457,29743724.37123745,-5299.578366584822,8565.65264085712,-4669.969214397359,0.0
17,-59191248.18924084,29739102.04436102,-5299.15354019678,8569.624122895015,-4667.692979198832,0.0
18,-59181942.79540889,29764795.650662128,-5298.063481410364,8566.217329178271,-4665.298836845459,0.0
19,-59172796.741901025,29868609.916091334,-5292.621166891096,8558.394678740253,-4663.098491088593,0.0
20,-59162643.33459306,29864939.935547262,-5283.01811779296,8553.074505381934,-4661.535252959269,0.0
21,-59153169.89648107,29867465.124268938,-5274.180066259586,8551.796528555826,-4660.927373168167,0.0
22,-59143738.13938851,29884163.788134027,-5271.067188438994,8551.324913139952,-4658.200946960658,0.0
23,-59134050.592692345,29880614.68000909,-5272.203136752327,8550.522488852625,-4653.419645877215,0.0
24,-59124568.09942363,29875335.32776624,-5274.2835158031785,8547.843496993435,-4649.994434578942,0.0
25,-59114197.41553997,29877003.153310698,-5274.909453773264,8544.954829909644,-4651.055006850948,0.0
26,-59103192.56555064,29882031.520731922,-5272.293543957823,8543.802738089307,-4651.772700951232,0.0
27,-59092194.42620658,29874876.748228658,-5271.71510113629,8542.75587867265,-4650.907475999667,0.0
28,-59080840.276725136,29885661.10859357,-5274.047725011055,8542.322274863638,-4649.623213769457,0.0
29,-59069080.37805193,29928733.79693746,-5275.869644425486,8543.351324242502,-4647.020977274459,0.0
30,-59057094.35851068,29924855.0476323,-5275.182245136278,8543.121326473936,-4646.94776917543,0.0
31,-59044854.3491181,29923819.88545907,-5270.86290631062,8541.813790171655,-4648.706336484182,0.0
32,-59032333.79637704,29915143.505689938,-5264.88346711214,8541.515483370264,-4648.968836492737,0.0
33,-59020423.285204634,29911067.679701425,-5259.289702151529,8542.8912600865,-4648.550492375269,0.0
34,-59008185.92527812,29915936.115758765,-5256.2238492064635,8544.375467211772,-4648.564505308649,0.0
