i,U,K,Px,Py,Pz,Ne
81,-58640281.619169556,29696590.150725197,-5453.286106500703,8586.244479131607,-4601.585167923424,10.0
82,-58621170.299218394,29680112.167610962,-5456.7320891223535,8585.958028599982,-4596.442617814007,10.0
83,-58601844.087464504,29667951.4928547,-5460.490427894091,8587.481037169287,-4591.396219285975,10.0
84,-58582421.87435778,29657510.07374173,-5461.569305108392,8588.918875780912,-4588.257384306905,10.0
85,-58562920.914393105,29645236.05206932,-5461.743424036482,8589.50860401158,-4587.083584180552,10.0
86,-58543982.05809536,29629166.588903703,-5463.315644493921,8591.06185616168,-4586.587319794121,10.0
87,-58524894.30775185,29618127.1989367,-5464.5244950015085,8592.198331824262,-4583.332328615954,10.0
88,-58506024.09331913,29613047.89386566,-5465.089633772667,8590.783527127382,-4580.36375049803,10.0
89,-58487074.51184328,29601574.302910056,-5463.578278485068,8586.652766629395,-4579.750362686337,10.0
90,-58468361.41170371,29587411.617961384,-5462.5737100406695,8580.79779460078,-4578.551156195598,10.0
91,-58448956.55635066,29575310.48593515,-5462.426529118792,8578.23499594406,-4579.898411043439,10.0
92,-58429725.44031414,29561361.10741492,-5460.748697378384,8578.438480492092,-4580.93566272607,10.0
93,-58410144.68634488,29548147.70762586,-5461.716449181016,8577.177886614958,-4578.284846375242,10.0
94,-58389777.94730012,29539258.776318487,-5463.876673788919,8576.588869649036,-4574.011715087076,10.0
95,-58369300.826491326,29530202.024851426,-5464.990277985204,8576.946842823305,-4568.305343578093,12.0
96,-58347116.06541182,29513906.315702394,-5465.123376718168,8575.37318007208,-4563.344891636912,12.0
97,-58325147.022868186,29502890.566445965,-5465.102621403709,8573.095402233264,-4560.620676114634,12.0
98,-58303220.39322351,29492995.37062539,-5467.355271539445,8569.870272624179,-4560.795488672859,12.0
99,-58281228.43348546,29474406.385898322,-5469.899427373095,8565.994980506084,-4562.7646076122855,12.0
100,-58259579.08670206,29455279.326128285,-5473.2034525376785,8563.52102111204,-4563.811185902499,12.0
101,-58238611.39373478,29439834.403938424,-5476.1501422865185,8561.35011976751,-4565.883850255664,12.0
102,-58218068.77666531,29434663.66282466,-5477.703604232634,8559.577452935055,-4569.793987830475,14.0
103,-58196955.79103262,29423349.010799594,-5478.907882155402,8560.079973124553,-4571.773038279802,14.0
104,-58176664.54028309,29412971.73786393,-5479.798816159903,8562.417880885354,-4572.145043119794,14.0
105,-58157609.94437513,29397889.73065832,-5478.349754044755,8565.895222836254,-4573.5013713033795,16.0
106,-58137418.346856244,29388685.769296963,-5476.418090112388,8568.06890726058,-4572.85887299963,16.0
107,-58118211.05128902,29390998.799728733,-5477.897472180347,8567.26423941025,-4571.368383433791,16.0
108,-58100375.5773985,29378007.36415133,-5481.30932382446,8566.88954344956,-4573.006280606709,16.0
109,-58082861.93570547,29363932.733865447,-5485.44420795745,8567.240752628833,-4577.960885943128,16.0
110,-58066141.2722893,29360423.214618273,-5489.005403150649,8567.073941293575,-4584.038173007381,16.0
111,-58049135.91276856,29371115.166137077,-5492.997698998722,8569.48459268666,-4585.60088650398,16.0
112,-58033153.35867343,29364014.792404488,-5495.947048546631,8573.61952457772,-4584.1719779911855,16.0
113,-58017550.25968457,29356201.48037125,-5495.6645776249015,8576.513810606071,-4582.475543285757,16.0
114,-58002569.97308738,29370230.904561162,-5494.141097355117,8579.217785173494,-4581.55593968146,16.0
