i,U,K,Px,Py,Pz,Ne
0,-59283257.151905425,29641792.33149371,-5305.688953275818,8574.259819911822,-4676.433495417577,0.0
1,-59281428.341602795,29649701.05811664,-5305.688953275925,8574.259819911944,-4676.433495417662,0.0
2,-59279414.2248074,29669722.991580714,-5305.68895327586,8574.259819911964,-4676.433495417559,0.0
3,-59276893.47812361,29721444.87252287,-5305.688953275766,8574.259819912126,-4676.433495417599,0.0
4,-59274366.64971472,29726716.950173594,-5305.688953275788,8574.259819911727,-4676.433495417635,0.0
5,-59270427.0347795,29737695.22292436,-5305.688953275795,8574.25981991187,-4676.4334954175965,0.0
6,-59266426.20337267,29752153.649739046,-5305.688953275921,8574.25981991203,-4676.433495417509,0.0
7,-59261784.210483424,29752493.361137677,-5305.688953275883,8574.259819911907,-4676.433495417598,0.0
8,-59256555.42135001,29752168.472645752,-5305.688953275888,8574.25981991198,-4676.433495417636,0.0
9,-59250782.85677557,29752968.800994888,-5305.688953275887,8574.259819911977,-4676.433495417694,0.0
10,-59245320.80734034,29751115.642746963,-5305.688953275877,8574.259819911982,-4676.4334954176275,0.0
11,-59239268.785170734,29748536.04249505,-5305.688953275816,8574.259819912142,-4676.43349541763,0.0
12,-59232526.90458872,29748702.631240852,-5305.688953275963,8574.259819911958,-4676.433495417567,0.0
13,-59224969.62712503,29749467.275527503,-5305.688953275882,8574.259819911851,-4676.433495417584,0.0
14,-59217261.64457416,29748266.15745147,-5305.688953275817,8574.259819911838,-4676.433495417573,0.0
15,-59209267.65349569,29750622.45544026,-5305.688953275936,8574.259819911955,-4676.433495417546,0.0
16,-59200124.35802479,29749749.489654038,-5305.68895327583,8574.259819912013,-4676.433495417589,0.0
17,-59192066.961153835,29746033.52076759,-5305.688953275817,8574.259819911966,-4676.433495417662,0.0
18,-59182598.75069803,29738407.36562695,-5305.688953275934,8574.259819911855,-4676.433495417622,0.0
19,-59173946.03652121,29736672.517433923,-5305.6889532759,8574.259819911926,-4676.433495417654,0.0
