i,U,K,Px,Py,Pz,Ne
70,-58831029.07883683,29825866.34199419,-5305.6889532758205,8574.259819911826,-4676.4334954175065,9.0
71,-58821360.86047449,29820308.668944966,-5305.688953275853,8574.25981991185,-4676.4334954177275,9.0
72,-58810858.61436232,29816769.723270345,-5305.688953275862,8574.25981991199,-4676.433495417599,9.0
73,-58798696.85770883,29811642.97348543,-5305.688953275842,8574.259819911977,-4676.4334954176065,9.0
74,-58785771.066602446,29801520.31828881,-5305.688953275828,8574.259819911858,-4676.433495417475,9.0
75,-58772741.562512204,29789918.66726016,-5305.688953275853,8574.259819911824,-4676.433495417667,9.0
76,-58758518.78984419,29782047.5481956,-5305.688953275841,8574.259819912131,-4676.433495417754,9.0
77,-58743537.64014428,29826788.181636393,-5305.688953275827,8574.259819911926,-4676.433495417667,9.0
78,-58726796.1123819,29790191.06151213,-5305.688953275851,8574.259819912031,-4676.433495417497,11.0
79,-58709662.045275316,29781852.963523306,-5305.688953275827,8574.259819911913,-4676.433495417688,11.0
80,-58691390.83200783,29772390.31554501,-5305.688953275879,8574.259819911998,-4676.433495417724,11.0
81,-58673061.51262497,29762241.267739654,-5305.688953275834,8574.259819911967,-4676.433495417685,11.0
82,-58654293.04032813,29753447.361402545,-5305.6889532758905,8574.259819911935,-4676.433495417688,11.0
83,-58635388.74996472,29740818.99458628,-5305.688953275833,8574.25981991182,-4676.433495417645,11.0
84,-58616164.15133329,29724562.841006167,-5305.688953275815,8574.259819911975,-4676.433495417525,11.0
85,-58597141.36872635,29707612.990011834,-5305.688953275836,8574.259819911795,-4676.433495417626,11.0
86,-58578954.95740719,29713067.881282546,-5305.688953275823,8574.25981991191,-4676.433495417577,11.0
87,-58560046.89028855,29689068.19283745,-5305.688953275899,8574.25981991187,-4676.433495417683,13.0
88,-58541499.48487374,29675368.760206744,-5305.688953275935,8574.25981991193,-4676.433495417646,13.0
89,-58523323.880434446,29666700.29059306,-5305.688953275917,8574.259819911798,-4676.433495417637,13.0
90,-58505490.53160136,29663527.306274325,-5305.688953275901,8574.259819911897,-4676.4334954177375,13.0
91,-58486922.907939464,29684670.30245532,-5305.68895327591,8574.25981991203,-4676.433495417633,13.0
92,-58469231.79081119,29675540.787115827,-5305.688953275821,8574.25981991201,-4676.433495417688,13.0
93,-58450936.598693915,29677801.25152343,-5305.6889532759005,8574.259819911802,-4676.433495417577,13.0
94,-58432157.41010493,29685280.65123675,-5305.688953275883,8574.259819912038,-4676.433495417669,13.0
95,-58413896.38800425,29677036.76034857,-5305.688953275749,8574.25981991201,-4676.433495417517,13.0
96,-58394458.23814482,29663382.27491378,-5305.688953275935,8574.259819911982,-4676.433495417499,13.0
97,-58375235.74014737,29653483.011065785,-5305.688953275923,8574.259819912031,-4676.43349541766,13.0
98,-58356063.093858965,29643520.901578005,-5305.688953275779,8574.259819911937,-4676.433495417653,13.0
99,-58336247.81382468,29633023.65853841,-5305.688953275849,8574.259819911962,-4676.43349541764,13.0
100,-58317081.35321043,29623430.6375469,-5305.688953275753,8574.25981991202,-4676.433495417593,13.0
101,-58297986.370601185,29610976.51743044,-5305.688953275852,8574.25981991198,-4676.433495417577,13.0
102,-58278653.80750043,29596965.989304513,-5305.688953275822,8574.25981991184,-4676.433495417656,13.0
103,-58260103.095747516,29588234.190749303,-5305.688953275901,8574.259819911858,-4676.433495417534,13.0
104,-58241828.92032144,29580814.10478517,-5305.688953275901,8574.259819911986,-4676.43349541755,13.0
105,-58223697.15975376,29573326.909754995,-5305.688953275859,8574.259819911927,-4676.433495417618,13.0
106,-58206114.28434837,29562724.498136014,-5305.688953275905,8574.259819912006,-4676.433495417547,13.0
107,-58188019.76452533,29550309.674527254,-5305.688953275838,8574.259819911947,-4676.433495417654,13.0
108,-58170299.36010866,29536352.568377815,-5305.688953275804,8574.259819911897,-4676.4334954176065,13.0
109,-58152533.699408114,29523695.768646058,-5305.688953275874,8574.259819912122,-4676.43349541749,13.0
110,-58135360.115652665,29517438.042145643,-5305.68895327583,8574.25981991197,-4676.433495417659,13.0
111,-58117600.49740083,29532936.65360936,-5305.688953275869,8574.259819912018,-4676.433495417578,13.0
112,-58099810.819556974,29521998.420437198,-5305.688953275759,8574.259819911895,-4676.433495417509,13.0
113,-58082867.234776,29518890.642299067,-5305.688953275905,8574.259819911944,-4676.43349541755,13.0
