i,U,K,Px,Py,Pz,Ne
0,-59283257.151905335,29641792.33149358,-5305.688953275878,8574.259819911884,-4676.433495417537,0.0
1,-59281136.63382072,29649395.26517608,-5305.688953275845,8574.259819911831,-4676.433495417554,0.0
2,-59278259.93667422,29659177.465130635,-5305.688953275818,8574.259819911993,-4676.4334954176575,0.0
3,-59274352.97122467,29683441.46748207,-5305.68895327578,8574.259819911947,-4676.433495417571,0.0
4,-59269894.938899115,29688250.383872125,-5305.688953275854,8574.259819911971,-4676.433495417514,0.0
5,-59263561.551373705,29694446.494556922,-5305.6889532758305,8574.25981991198,-4676.433495417564,0.0
6,-59256790.11916952,29702016.857028063,-5305.688953275926,8574.259819911984,-4676.433495417508,0.0
7,-59248917.86881314,29709187.165618863,-5305.688953275802,8574.259819911907,-4676.433495417634,0.0
8,-59240094.077476405,29705510.85045393,-5305.688953275893,8574.2598199119,-4676.433495417608,0.0
9,-59230441.566962555,29709394.878773745,-5305.688953275815,8574.259819912084,-4676.433495417626,0.0
10,-59220772.96261127,29717099.515992295,-5305.688953275845,8574.259819912166,-4676.433495417634,0.0
11,-59209906.44367441,29711473.06232341,-5305.6889532758305,8574.25981991183,-4676.433495417645,0.0
12,-59198311.29632116,29710635.749691043,-5305.688953275844,8574.259819911747,-4676.433495417634,0.0
13,-59185577.07718421,29721677.384994116,-5305.6889532758605,8574.259819911842,-4676.433495417704,0.0
14,-59172233.28844762,29716058.23404862,-5305.688953275964,8574.259819912115,-4676.433495417619,0.0
15,-59158579.06149325,29724003.09816713,-5305.6889532758605,8574.259819911944,-4676.433495417515,0.0
16,-59143699.9455242,29757267.043381706,-5305.688953275873,8574.259819912004,-4676.433495417645,0.0
17,-59129405.83495062,29773993.224947132,-5305.6889532758505,8574.259819911977,-4676.433495417608,0.0
18,-59114185.187753886,29775017.847283475,-5305.688953275818,8574.259819911998,-4676.433495417616,0.0
19,-59099313.6119511,29768259.953779597,-5305.688953275882,8574.259819912078,-4676.433495417597,0.0
20,-59083997.7399543,29761652.055595804,-5305.688953275775,8574.259819912215,-4676.433495417554,0.0
21,-59068855.0861577,29753352.394902173,-5305.688953275809,8574.25981991192,-4676.43349541757,0.0
22,-59053682.3506832,29759828.401697505,-5305.688953275794,8574.259819912097,-4676.43349541762,0.0
23,-59038572.60095155,29749601.102830328,-5305.688953275864,8574.259819911984,-4676.433495417641,0.0
24,-59023607.2715067,29744884.304908026,-5305.688953275834,8574.259819911933,-4676.433495417555,0.0
25,-59008315.28710404,29737460.613747593,-5305.688953275829,8574.25981991195,-4676.433495417661,0.0
26,-58992120.71825838,29735117.548315175,-5305.688953275935,8574.259819911953,-4676.433495417597,0.0
27,-58975819.70688424,29741535.209587865,-5305.688953275852,8574.259819911875,-4676.433495417556,0.0
28,-58960360.676709235,29740846.651035376,-5305.6889532758505,8574.259819911955,-4676.433495417632,0.0
29,-58944239.95628223,29757985.88916162,-5305.688953275929,8574.25981991202,-4676.433495417599,0.0
30,-58927985.63080619,29748465.16431652,-5305.6889532759205,8574.259819912024,-4676.433495417623,0.0
31,-58912223.96618066,29743328.033130996,-5305.6889532759005,8574.259819911798,-4676.4334954176065,0.0
32,-58896665.73049406,29741132.42046855,-5305.688953275846,8574.259819911904,-4676.433495417618,0.0
33,-58881820.22582161,29731559.090494458,-5305.688953275866,8574.259819911887,-4676.433495417463,0.0
34,-58867023.65322567,29726062.187417682,-5305.688953276023,8574.259819911884,-4676.433495417497,0.0
35,-58852687.20980748,29722587.355073277,-5305.688953275816,8574.25981991195,-4676.433495417684,0.0
36,-58838911.823026516,29716200.39412633,-5305.688953275935,8574.259819911937,-4676.433495417602,0.0
37,-58825646.38095419,29708981.279100984,-5305.688953275875,8574.259819911871,-4676.433495417603,0.0
38,-58813683.53836186,29700831.457178917,-5305.688953275934,8574.25981991195,-4676.433495417644,0.0
39,-58802263.94306948,29692261.501847487,-5305.688953275888,8574.259819911902,-4676.433495417564,0.0
40,-58791075.11875936,29687043.242474206,-5305.688953275766,8574.259819912008,-4676.433495417646,0.0
41,-58781453.14604292,29688076.306697056,-5305.688953275772,8574.259819911793,-4676.433495417509,0.0
42,-58772454.191699624,29691059.463332802,-5305.688953275839,8574.259819912142,-4676.433495417642,0.0
43,-58764104.83229655,29685545.463165976,-5305.688953275827,8574.25981991199,-4676.433495417626,0.0
44,-58756426.43607495,29681352.869879913,-5305.6889532759105,8574.259819911975,-4676.433495417635,0.0
45,-58750366.872373804,29681990.431598436,-5305.688953275859,8574.259819912,-4676.433495417603,0.0
46,-58745185.35518011,29683765.891605556,-5305.6889532758205,8574.259819911971,-4676.4334954175265,0.0
47,-58741568.43823262,29695528.43310336,-5305.688953275742,8574.259819911962,-4676.433495417581,0.0
48,-58738687.26014255,29712288.547569174,-5305.68895327585,8574.259819912044,-4676.433495417552,0.0
49,-58736104.44342638,29713629.269573778,-5305.688953275877,8574.259819912075,-4676.433495417627,0.0
50,-58735046.05869525,29725396.370625407,-5305.688953275778,8574.259819911986,-4676.433495417569,0.0
51,-58734265.006801,29768372.695137993,-5305.688953275828,8574.259819911695,-4676.433495417767,0.0
52,-58733672.12485149,29829511.632325225,-5305.688953275944,8574.259819912008,-4676.433495417614,1.0
53,-58733310.721219264,29801310.365738604,-5305.6889532758905,8574.259819911798,-4676.433495417651,3.0
54,-58733443.355439655,29809280.456488684,-5305.688953275938,8574.259819911846,-4676.433495417519,3.0
55,-58733803.79643812,29817679.90753903,-5305.6889532758505,8574.259819911942,-4676.4334954175565,3.0
56,-58734571.39626409,29822693.947959777,-5305.688953275816,8574.259819911813,-4676.433495417612,3.0
57,-58735198.759024546,29827797.044814948,-5305.688953275837,8574.259819911926,-4676.433495417641,3.0
58,-58736342.99279998,29849154.39570441,-5305.688953275886,8574.259819911907,-4676.433495417554,3.0
59,-58736947.17131159,29838485.88036331,-5305.688953275926,8574.259819911922,-4676.433495417557,5.0
60,-58736835.70009475,29847591.59857281,-5305.688953275842,8574.259819912004,-4676.433495417492,5.0
61,-58736655.27919024,29851531.638474856,-5305.688953275754,8574.259819911917,-4676.433495417584,5.0
62,-58736014.28202019,29855120.609323207,-5305.68895327587,8574.259819911884,-4676.433495417722,5.0
63,-58734443.153402396,29857475.422402047,-5305.688953275855,8574.259819911986,-4676.433495417625,5.0
64,-58732288.720319934,29860516.97216363,-5305.688953275845,8574.259819912024,-4676.43349541757,5.0
65,-58729314.65865926,29864897.784873143,-5305.688953275859,8574.25981991191,-4676.433495417608,5.0
66,-58725605.5471537,29870453.972366355,-5305.688953275863,8574.259819911862,-4676.4334954176165,5.0
67,-58721055.67796128,29910798.09675991,-5305.688953275856,8574.259819912175,-4676.433495417563,5.0
68,-58715494.58940909,29873762.857342716,-5305.688953275871,8574.259819911864,-4676.433495417688,7.0
69,-58709100.53189444,29876214.755405694,-5305.688953275837,8574.259819911933,-4676.433495417624,7.0
70,-58701470.32258759,29874503.65887497,-5305.688953275885,8574.259819912035,-4676.433495417644,7.0
71,-58693040.246364385,29871366.023327205,-5305.688953275828,8574.25981991202,-4676.433495417582,7.0
72,-58684118.52000095,29870961.92448031,-5305.688953275923,8574.259819912042,-4676.433495417634,7.0
73,-58673847.4164155,29869219.55949322,-5305.688953275843,8574.259819911973,-4676.433495417626,7.0
74,-58663171.45149465,29865362.967776753,-5305.688953275872,8574.25981991202,-4676.433495417627,7.0
75,-58652097.3529891,29865112.130743623,-5305.688953275849,8574.259819911793,-4676.433495417524,7.0
76,-58640119.56087271,29887868.58725633,-5305.6889532759,8574.25981991187,-4676.433495417611,7.0
77,-58628010.63992001,29880357.901374612,-5305.688953275889,8574.259819912035,-4676.433495417637,7.0
78,-58615134.61941943,29875036.434627075,-5305.688953275918,8574.259819911853,-4676.433495417596,7.0
79,-58602588.73342407,29870726.93618794,-5305.688953275843,8574.259819911962,-4676.433495417564,7.0
80,-58589331.15486268,29867123.78810072,-5305.688953275792,8574.259819911898,-4676.433495417684,7.0
81,-58575733.54380548,29868806.51401462,-5305.68895327586,8574.25981991189,-4676.433495417611,7.0
82,-58561615.124458715,29887203.168714758,-5305.688953275814,8574.25981991197,-4676.433495417672,7.0
83,-58546948.77996595,29854457.2947134,-5305.688953275796,8574.259819911942,-4676.433495417567,9.0
84,-58532325.044073716,29845669.715489227,-5305.688953275792,8574.259819912073,-4676.433495417569,9.0
85,-58517092.6876723,29837759.89310458,-5305.688953275874,8574.259819912091,-4676.433495417525,9.0
86,-58501936.69040872,29829145.563364744,-5305.688953275819,8574.25981991191,-4676.433495417617,9.0
87,-58487445.49228271,29821203.220166143,-5305.688953275827,8574.259819911926,-4676.4334954175765,9.0
88,-58472470.73274649,29814286.683041926,-5305.68895327588,8574.259819912077,-4676.433495417566,9.0
89,-58457626.117697746,29813460.2836326,-5305.688953275901,8574.259819911844,-4676.433495417792,9.0
90,-58442406.00374473,29811911.43211068,-5305.688953275936,8574.259819911787,-4676.433495417616,9.0
91,-58427025.09586215,29801294.991744358,-5305.688953275821,8574.259819912035,-4676.433495417737,9.0
92,-58411384.27069223,29791463.293008853,-5305.688953275876,8574.259819911886,-4676.433495417474,9.0
93,-58395832.36688795,29786755.287589576,-5305.688953275792,8574.259819911897,-4676.433495417581,9.0
94,-58379375.04706707,29800341.435896676,-5305.6889532758905,8574.259819911827,-4676.433495417677,9.0
95,-58362203.27781963,29806129.276885435,-5305.688953275886,8574.259819912126,-4676.4334954175365,9.0
96,-58344735.675089896,29812475.376904055,-5305.688953275817,8574.25981991193,-4676.43349541765,9.0
97,-58326426.15831192,29781621.353401933,-5305.688953275852,8574.259819911793,-4676.433495417514,11.0
98,-58307497.17516767,29779203.113055084,-5305.688953275838,8574.259819912148,-4676.433495417646,11.0
99,-58287693.659510285,29763812.986083835,-5305.68895327582,8574.259819911847,-4676.433495417615,11.0
100,-58267997.69544538,29749159.98269361,-5305.688953275773,8574.2598199119,-4676.433495417494,11.0
101,-58248058.35629071,29736948.94487898,-5305.688953275834,8574.259819911871,-4676.433495417567,11.0
102,-58227841.70204344,29724279.176429033,-5305.688953275827,8574.259819911866,-4676.433495417668,11.0
103,-58207610.42480278,29712969.557999358,-5305.688953275775,8574.259819911991,-4676.433495417687,11.0
104,-58187413.516209535,29721183.36445017,-5305.688953275825,8574.259819911998,-4676.4334954175865,11.0
105,-58167744.44927613,29686815.295471326,-5305.688953275822,8574.259819911911,-4676.433495417527,13.0
106,-58147893.70929925,29684312.333037104,-5305.688953275945,8574.259819911984,-4676.433495417589,13.0
107,-58128361.56799803,29681496.070680432,-5305.688953275823,8574.25981991194,-4676.433495417686,13.0
108,-58108597.75181753,29673265.074247412,-5305.688953275803,8574.259819911967,-4676.433495417662,13.0
109,-58088968.86495081,29664502.742340747,-5305.688953275885,8574.259819911893,-4676.43349541751,13.0
110,-58069282.283235386,29651481.54969532,-5305.6889532757195,8574.259819912022,-4676.43349541749,13.0
111,-58049489.92519332,29634638.570522547,-5305.688953275895,8574.259819911904,-4676.433495417555,13.0
112,-58030426.27253,29619211.370045062,-5305.688953275865,8574.259819911966,-4676.4334954175965,13.0
113,-58011251.97643297,29610476.045656305,-5305.688953275793,8574.259819911898,-4676.433495417602,13.0
114,-57992439.283699565,29600958.331569243,-5305.688953275846,8574.259819911758,-4676.4334954176065,13.0
115,-57973495.74179094,29585330.787883252,-5305.6889532758805,8574.25981991183,-4676.433495417543,13.0
116,-57955120.99755426,29571600.972519606,-5305.688953275874,8574.259819911898,-4676.433495417552,13.0
117,-57936901.17936826,29561270.480602477,-5305.688953275775,8574.259819911895,-4676.433495417603,13.0
118,-57918759.18344086,29550762.30213945,-5305.688953275817,8574.259819911946,-4676.43349541763,13.0
119,-57900829.586788036,29559075.616696198,-5305.6889532758605,8574.259819911977,-4676.433495417611,13.0
120,-57882097.31609539,29551475.279325128,-5305.688953275925,8574.25981991198,-4676.433495417633,13.0
121,-57863849.07753336,29536907.909531657,-5305.688953275858,8574.259819911967,-4676.43349541759,13.0
