i,U,K,Px,Py,Pz,Ne
53,-58733310.721219264,29958488.886769988,-5305.688953275857,8574.259819911747,-4676.43349541759,0.0
54,-58733443.355439655,29965686.825851426,-5305.688953275911,8574.25981991184,-4676.4334954175665,0.0
55,-58733803.79643808,29973472.04740085,-5305.688953275868,8574.259819911857,-4676.433495417622,0.0
56,-58734571.39626409,29978064.956915714,-5305.688953275801,8574.259819912058,-4676.433495417623,0.0
57,-58735198.75902453,29982858.10443967,-5305.688953275823,8574.259819911997,-4676.433495417526,0.0
58,-58736342.99279998,30003968.56932077,-5305.688953275875,8574.259819911944,-4676.433495417647,0.0
59,-58736947.171311595,30058575.675051454,-5305.688953275851,8574.259819911937,-4676.433495417605,0.0
60,-58736835.70009474,30067222.122852977,-5305.688953275811,8574.259819912031,-4676.43349541745,0.0
61,-58736655.27919026,30070694.1663854,-5305.688953275753,8574.259819911927,-4676.43349541755,0.0
62,-58736014.28202017,30073876.68162693,-5305.688953275883,8574.259819911984,-4676.433495417649,0.0
63,-58734443.15340236,30075913.167760767,-5305.688953275847,8574.259819911804,-4676.433495417692,0.0
64,-58732288.7203199,30078706.409887202,-5305.688953275857,8574.259819911993,-4676.433495417598,0.0
65,-58729314.65865926,30082887.4962077,-5305.688953275831,8574.259819912102,-4676.433495417664,0.0
66,-58725605.547153704,30088274.551227607,-5305.688953275843,8574.259819911904,-4676.433495417576,0.0
67,-58721055.67796128,30128474.692099236,-5305.688953275824,8574.259819912042,-4676.433495417709,0.0
68,-58715494.58940911,30238401.848785315,-5305.6889532758805,8574.25981991187,-4676.43349541767,0.0
69,-58709100.53189443,30240227.007727176,-5305.688953275807,8574.25981991201,-4676.433495417589,0.0
70,-58701470.32258758,30237940.941839922,-5305.688953275879,8574.259819911935,-4676.433495417523,0.0
71,-58693040.24636439,30234389.49740385,-5305.688953275819,8574.259819912058,-4676.433495417654,0.0
72,-58684118.52000096,30233672.755190182,-5305.6889532758805,8574.259819912053,-4676.43349541777,0.0
73,-58673847.41641549,30231698.568864692,-5305.688953275864,8574.259819912024,-4676.433495417648,0.0
74,-58663171.45149465,30227661.71331299,-5305.688953275899,8574.259819911907,-4676.43349541754,0.0
75,-58652097.3529891,30227268.56733421,-5305.688953275813,8574.259819911886,-4676.43349541756,0.0
76,-58640119.5608727,30249913.52793415,-5305.6889532758705,8574.259819911906,-4676.433495417596,0.0
77,-58628010.63991998,30242302.452639792,-5305.688953275834,8574.259819912088,-4676.433495417583,0.0
78,-58615134.61941945,30236891.273215227,-5305.68895327589,8574.259819911858,-4676.433495417598,0.0
79,-58602588.73342406,30232507.916932072,-5305.688953275842,8574.259819911998,-4676.433495417655,0.0
80,-58589331.15486269,30228840.976170853,-5305.688953275823,8574.259819911844,-4676.433495417667,0.0
81,-58575733.54380549,30230463.599888626,-5305.688953275838,8574.259819911818,-4676.433495417553,0.0
82,-58561615.12445867,30248808.275666624,-5305.688953275846,8574.259819911998,-4676.433495417603,0.0
83,-58546948.77996597,30303687.451052845,-5305.688953275853,8574.25981991202,-4676.433495417628,0.0
84,-58532325.04407372,30294357.467965547,-5305.688953275793,8574.25981991211,-4676.43349541763,0.0
85,-58517092.687672295,30285930.979856122,-5305.688953275868,8574.259819911982,-4676.43349541751,0.0
86,-58501936.69040874,30276910.19720334,-5305.688953275811,8574.259819911931,-4676.433495417631,0.0
87,-58487445.49228269,30268666.189593315,-5305.688953275815,8574.259819911904,-4676.433495417594,0.0
88,-58472470.73274649,30261517.79690137,-5305.688953275876,8574.259819911998,-4676.433495417554,0.0
89,-58457626.11769783,30260512.52370375,-5305.688953275906,8574.25981991193,-4676.433495417812,0.0
90,-58442406.003744654,30258826.85876496,-5305.688953275887,8574.25981991197,-4676.4334954175865,0.0
91,-58427025.09586216,30248091.516829997,-5305.688953275842,8574.259819911982,-4676.433495417642,0.0
92,-58411384.27069225,30238165.598630514,-5305.688953275918,8574.259819911946,-4676.433495417597,0.0
93,-58395832.366887964,30233380.711723376,-5305.688953275824,8574.259819911853,-4676.433495417592,0.0
94,-58379375.04706705,30246892.937098417,-5305.6889532759105,8574.25981991188,-4676.433495417646,0.0
95,-58362203.277819686,30252616.41324466,-5305.688953275951,8574.259819911991,-4676.433495417545,0.0
96,-58344735.67508991,30258908.064466465,-5305.68895327579,8574.259819911904,-4676.433495417652,0.0
97,-58326426.158311926,30298170.165113002,-5305.688953275819,8574.259819911853,-4676.4334954176165,0.0
98,-58307497.17516773,30295402.2060331,-5305.688953275839,8574.259819911973,-4676.433495417586,0.0
99,-58287693.65951029,30279505.60654324,-5305.688953275881,8574.259819911877,-4676.433495417629,0.0
100,-58267997.6954454,30264404.990178544,-5305.6889532759105,8574.259819911938,-4676.433495417509,0.0
101,-58248058.356290706,30251862.69151403,-5305.688953275921,8574.259819911937,-4676.433495417516,0.0
102,-58227841.70204347,30238926.911151957,-5305.688953275809,8574.259819911957,-4676.433495417563,0.0
103,-58207610.4248028,30227416.268178824,-5305.688953275886,8574.259819912084,-4676.433495417712,0.0
104,-58187413.51620953,30235463.128551327,-5305.6889532759105,8574.259819911978,-4676.433495417669,0.0
105,-58167744.44927617,30302469.765571594,-5305.688953275842,8574.259819911897,-4676.433495417606,0.0
106,-58147893.70929925,30299565.650034666,-5305.688953275893,8574.25981991194,-4676.433495417527,0.0
107,-58128361.56799802,30296313.401422396,-5305.688953275824,8574.259819911853,-4676.433495417677,0.0
108,-58108597.7518176,30287723.480093624,-5305.688953275802,8574.259819911904,-4676.43349541766,0.0
109,-58088968.86495086,30278677.28380143,-5305.6889532759515,8574.259819911895,-4676.433495417618,0.0
110,-58069282.283235416,30265435.201931,-5305.688953275812,8574.259819911988,-4676.433495417538,0.0
111,-58049489.92519332,30248415.94928634,-5305.688953275822,8574.2598199119,-4676.4334954175265,0.0
112,-58030426.27253001,30232834.381708775,-5305.68895327591,8574.25981991196,-4676.4334954176065,0.0
113,-58011251.97643298,30223970.11729037,-5305.688953275784,8574.259819911931,-4676.433495417588,0.0
114,-57992439.28369958,30214349.433086958,-5305.688953275885,8574.25981991181,-4676.433495417639,0.0
