i,U,K,Px,Py,Pz,Ne
43,-58720449.401018634,29638742.05751204,-5305.688953275754,8574.259819911931,-4676.433495417563,10.0
44,-58712638.80366841,29641222.567754854,-5305.688953275892,8574.259819911777,-4676.4334954177175,10.0
45,-58706374.113586046,29649295.747825127,-5305.6889532757805,8574.259819911946,-4676.433495417781,10.0
46,-58701146.49553719,29661040.707665026,-5305.688953275736,8574.259819911926,-4676.433495417581,10.0
47,-58696334.96251084,29668101.4854134,-5305.688953275859,8574.259819911955,-4676.433495417603,10.0
48,-58692683.55904713,29668235.08365224,-5305.688953275793,8574.259819912002,-4676.433495417655,10.0
49,-58689424.92942014,29668427.525818396,-5305.688953275837,8574.259819911904,-4676.433495417616,10.0
50,-58688032.02468031,29671314.331963737,-5305.6889532758705,8574.25981991189,-4676.433495417602,10.0
51,-58686889.69703224,29685386.83925278,-5305.688953275904,8574.25981991186,-4676.433495417548,10.0
52,-58686906.08151532,29690650.865617502,-5305.688953275833,8574.25981991189,-4676.433495417732,10.0
53,-58687407.35005407,29699455.139908217,-5305.688953275837,8574.259819911897,-4676.43349541765,10.0
54,-58688224.55884417,29705252.591541626,-5305.688953275804,8574.259819911924,-4676.4334954175565,10.0
55,-58689408.07997417,29707770.860441253,-5305.68895327593,8574.259819911993,-4676.433495417495,10.0
56,-58690557.67354264,29713398.17959144,-5305.688953275815,8574.259819912013,-4676.433495417683,10.0
57,-58691718.542603165,29720318.1206765,-5305.688953275882,8574.259819911938,-4676.433495417608,10.0
58,-58693257.61600225,29728688.222615268,-5305.6889532758805,8574.259819912113,-4676.433495417711,10.0
59,-58693454.92822261,29734412.300520048,-5305.688953275833,8574.259819912146,-4676.433495417551,10.0
60,-58693374.160158694,29747427.226823088,-5305.688953275835,8574.259819912031,-4676.433495417711,10.0
61,-58693296.80017314,29761620.38484835,-5305.6889532758705,8574.25981991211,-4676.433495417607,11.0
62,-58691009.2891788,29766336.95623823,-5305.68895327586,8574.259819911958,-4676.433495417592,11.0
63,-58688872.34993947,29770271.8332968,-5305.688953275863,8574.259819911991,-4676.433495417657,11.0
64,-58685646.451129764,29777211.29613429,-5305.688953275816,8574.259819912077,-4676.433495417572,11.0
65,-58681026.04139373,29781148.81621884,-5305.688953275847,8574.259819911988,-4676.433495417538,11.0
66,-58676143.34290152,29780439.005872466,-5305.688953275806,8574.259819911902,-4676.433495417601,11.0
67,-58669680.32365224,29777944.174668867,-5305.688953275846,8574.259819911937,-4676.433495417602,11.0
68,-58662832.854334824,29775273.00054683,-5305.688953275854,8574.259819911926,-4676.433495417488,11.0
69,-58654933.251242846,29777516.098648403,-5305.688953275799,8574.259819912046,-4676.4334954176475,11.0
70,-58646057.35683868,29778741.90629306,-5305.688953275854,8574.259819911918,-4676.433495417632,11.0
71,-58636422.87747123,29773222.84454155,-5305.688953275866,8574.259819911942,-4676.433495417759,11.0
72,-58625759.797721095,29769717.193623144,-5305.688953275848,8574.259819911924,-4676.433495417599,11.0
