i,U,K,Px,Py,Pz
74,-58663171.4498158,30227662.28922018,-5305.688953275868,8574.259819911882,-4676.43349541753
75,-58652097.3515501,30227269.144699942,-5305.68895327579,8574.259819911915,-4676.433495417615
76,-58640119.55977979,30249914.107492644,-5305.688953275884,8574.259819911958,-4676.433495417669
77,-58628010.63912339,30242303.032042995,-5305.688953275903,8574.259819912013,-4676.433495417648
78,-58615134.61892795,30236891.85977497,-5305.688953275847,8574.2598199119,-4676.433495417589
79,-58602588.73384627,30232508.530770924,-5305.688953275857,8574.259819911937,-4676.433495417608
80,-58589331.15590909,30228841.622840032,-5305.688953275899,8574.259819912008,-4676.43349541761
81,-58575733.54461976,30230464.300505664,-5305.6889532758305,8574.259819911958,-4676.433495417556
82,-58561615.12330805,30248808.98849788,-5305.688953275902,8574.259819911844,-4676.433495417601
83,-58546948.780952774,30303688.049789235,-5305.688953275842,8574.259819911933,-4676.433495417596
84,-58532325.034835495,30294358.12094253,-5305.688953275767,8574.259819911817,-4676.43349541759
85,-58517092.67055962,30285931.66420263,-5305.68895327589,8574.259819912122,-4676.433495417621
86,-58501936.671687745,30276910.83428983,-5305.688953275802,8574.259819911935,-4676.433495417616
87,-58487445.521669306,30268677.612296574,-5305.688953275918,8574.259819911953,-4676.433495417646
88,-58472470.61219119,30261547.59234539,-5305.688953275817,8574.259819912026,-4676.433495417693
89,-58457624.5070948,30260547.761463095,-5305.688953275968,8574.259819911842,-4676.433495417682
90,-58442404.101735614,30258867.704200093,-5305.688953275906,8574.259819911944,-4676.433495417529
91,-58427022.23923933,30248130.745545805,-5305.688953275881,8574.259819911935,-4676.433495417747
92,-58411379.595756054,30238205.394069955,-5305.68895327583,8574.259819911871,-4676.433495417548
93,-58395826.14602021,30233455.87063488,-5305.688953275885,8574.259819912057,-4676.433495417597
94,-58379367.99367673,30247086.534791574,-5305.6889532759415,8574.259819911851,-4676.433495417651
95,-58362194.16281772,30253049.347553857,-5305.688953275889,8574.259819911931,-4676.433495417592
96,-58344727.580093585,30258706.511428475,-5305.688953275926,8574.259819911918,-4676.433495417512
97,-58326411.85340359,30296131.768894125,-5305.688953275898,8574.259819912022,-4676.433495417547
98,-58307497.25840925,30292466.470851514,-5305.688953275861,8574.259819911867,-4676.433495417698
99,-58287718.43583321,30276642.917137712,-5305.688953275875,8574.259819911971,-4676.4334954176375
100,-58268037.60918651,30261482.492000934,-5305.6889532758605,8574.259819911973,-4676.433495417554
101,-58248106.9757746,30248692.155124426,-5305.688953275786,8574.259819911884,-4676.433495417614
102,-58227899.45715562,30235635.72066549,-5305.688953275839,8574.259819911973,-4676.433495417694
103,-58207654.950540364,30224462.680016898,-5305.688953275842,8574.259819911973,-4676.433495417706
104,-58187438.364235185,30218639.510132823,-5305.688953275902,8574.259819911964,-4676.433495417694
105,-58167869.76641621,30238959.649792776,-5305.688953275917,8574.25981991192,-4676.433495417777
106,-58148151.39427146,30237431.749402087,-5305.6889532759415,8574.259819911853,-4676.433495417639
107,-58128688.830173805,30241602.583291862,-5305.688953275875,8574.25981991195,-4676.433495417636
108,-58108857.98131463,30235475.293600846,-5305.6889532758905,8574.259819911982,-4676.433495417517
109,-58089043.68785046,30240472.63123821,-5305.6889532759005,8574.259819911851,-4676.433495417541
110,-58069045.66017585,30227561.36199813,-5305.688953275833,8574.25981991186,-4676.433495417627
111,-58048794.511389285,30215248.902437948,-5305.688953275835,8574.259819911938,-4676.433495417703
112,-58029118.76355491,30198928.961912822,-5305.68895327592,8574.25981991198,-4676.433495417639
113,-58009498.0550566,30186216.5443644,-5305.688953275823,8574.259819912017,-4676.433495417665
114,-57990190.4671937,30174651.318831787,-5305.688953275847,8574.25981991196,-4676.433495417544
115,-57970792.20296345,30159741.35629834,-5305.688953275844,8574.259819912066,-4676.433495417611
116,-57951950.56223637,30147257.32634073,-5305.688953275893,8574.259819911955,-4676.433495417573
117,-57933385.22785847,30134318.44425511,-5305.688953275824,8574.259819912018,-4676.4334954175665
118,-57914701.3910706,30121980.38317763,-5305.688953275767,8574.259819911937,-4676.433495417597
119,-57896333.22596388,30110626.297645457,-5305.688953275737,8574.259819912028,-4676.433495417656
120,-57877498.03501365,30096656.924921326,-5305.688953275926,8574.25981991199,-4676.4334954176575
121,-57859124.03716416,30086037.337399375,-5305.688953275867,8574.259819911918,-4676.433495417602
122,-57840889.15107824,30084453.53931312,-5305.688953275829,8574.259819911958,-4676.433495417545
123,-57822705.005414955,30107415.44823908,-5305.688953275834,8574.259819912008,-4676.433495417678
124,-57804653.9401227,30098541.695083246,-5305.688953275876,8574.259819911851,-4676.433495417574
125,-57786539.98506763,30092196.982060336,-5305.688953275838,8574.259819911937,-4676.433495417744
126,-57769399.68092875,30084958.314992193,-5305.688953275815,8574.259819912015,-4676.433495417583
127,-57752796.881523706,30075381.588663887,-5305.688953275846,8574.259819912042,-4676.433495417557
128,-57736916.399124645,30358506.803259637,-5305.688953275909,8574.259819911966,-4676.433495417739
129,-57719707.2376607,31205404.56142754,-5305.688953275834,8574.259819911835,-4676.433495417605
130,-57703238.6862084,31193590.6176627,-5305.688953275829,8574.259819911984,-4676.433495417598
131,-57687854.06330089,31184995.082872048,-5305.68895327583,8574.259819911986,-4676.433495417553
132,-57673083.89563384,31175943.710840616,-5305.688953275906,8574.259819911906,-4676.433495417637
133,-57658638.72996503,31167595.06198211,-5305.688953275971,8574.259819912018,-4676.433495417638
134,-57645353.11112116,31160541.621482126,-5305.688953275849,8574.259819911927,-4676.433495417643
135,-57631949.88230134,31160534.398795336,-5305.688953275867,8574.259819911998,-4676.4334954176165
136,-57619450.857235394,31155534.6343294,-5305.688953275861,8574.259819911918,-4676.433495417585
137,-57607721.18836202,31157303.206016194,-5305.688953275814,8574.259819912046,-4676.433495417538
138,-57596724.71732646,31177548.43955339,-5305.6889532758705,8574.259819911991,-4676.433495417612
139,-57586209.66933827,31192408.17100448,-5305.688953275849,8574.259819911955,-4676.433495417657
140,-57576015.45407121,31188119.70953331,-5305.688953275884,8574.259819911986,-4676.433495417609
141,-57566619.19570048,31199837.889686584,-5305.688953275846,8574.259819911951,-4676.433495417629
142,-57557497.0526071,31252638.40889351,-5305.688953275855,8574.259819912131,-4676.433495417608
143,-57548899.64189989,31250173.14184071,-5305.688953275837,8574.259819911913,-4676.433495417645
144,-57541030.287161976,31250069.389158223,-5305.6889532759305,8574.259819911978,-4676.4334954176275
145,-57534269.10491426,31244370.10049978,-5305.6889532758105,8574.259819911911,-4676.4334954176275
146,-57527886.41088155,31241631.4558939,-5305.688953275876,8574.25981991193,-4676.433495417644
147,-57522058.34935156,31242573.732166767,-5305.6889532758705,8574.259819912042,-4676.4334954176165
148,-57516375.404400796,31244586.561982132,-5305.688953275895,8574.259819911824,-4676.433495417658
149,-57510801.21364847,31247554.990338225,-5305.688953275909,8574.259819911897,-4676.4334954176065
150,-57505603.024630584,31256002.8982394,-5305.688953275871,8574.25981991202,-4676.433495417594
151,-57499855.22561305,31284255.704631332,-5305.688953275871,8574.259819911967,-4676.433495417667
152,-57494171.0149255,31295243.518266864,-5305.6889532758805,8574.259819911988,-4676.433495417656
153,-57488207.460974455,31292150.21781855,-5305.68895327587,8574.259819911942,-4676.433495417577
154,-57482457.44609279,31293566.933559738,-5305.688953275812,8574.259819911907,-4676.433495417617
155,-57476542.18070763,31296626.22908887,-5305.688953275812,8574.259819911847,-4676.433495417621
156,-57470478.58337572,31298009.066713843,-5305.688953275859,8574.259819911975,-4676.433495417634
157,-57464639.51313656,31297630.644890253,-5305.688953275852,8574.259819911771,-4676.4334954176
