i,U,K,Px,Py,Pz
77,-58896311.69108796,29636888.198776834,-5305.688953275881,8574.259819911913,-4676.433495417569
78,-58891690.2757936,29633390.572819144,-5305.688953275868,8574.259819911884,-4676.433495417724
79,-58887205.06533546,29629174.12295719,-5305.688953275815,8574.2598199119,-4676.433495417549
80,-58882587.854901806,29627421.555289228,-5305.688953275902,8574.259819911822,-4676.4334954176
81,-58878674.097392015,29630130.638111573,-5305.688953275893,8574.259819912026,-4676.4334954176675
82,-58875008.781757124,29632829.9333773,-5305.688953275727,8574.25981991198,-4676.433495417728
83,-58871637.817318395,29638495.01776103,-5305.6889532759005,8574.259819911913,-4676.433495417592
84,-58868074.475392506,29652380.077114865,-5305.68895327597,8574.259819911884,-4676.433495417569
85,-58864903.34625995,29650596.185415186,-5305.688953275734,8574.259819912017,-4676.433495417641
86,-58861778.80253449,29649297.395946205,-5305.688953275738,8574.259819911875,-4676.433495417618
87,-58858808.9211842,29647516.083329637,-5305.688953275835,8574.259819911864,-4676.4334954175765
88,-58856348.399167866,29647753.566436324,-5305.68895327584,8574.259819911938,-4676.433495417674
89,-58853910.17755504,29652806.208855767,-5305.688953275855,8574.259819912013,-4676.433495417508
90,-58851897.69805108,29660638.958075166,-5305.688953275863,8574.259819911978,-4676.4334954175965
91,-58850014.850774564,29664031.490581684,-5305.688953275882,8574.259819912015,-4676.433495417554
92,-58848417.97916539,29668895.577475198,-5305.688953275892,8574.259819911993,-4676.433495417557
93,-58846846.07897862,29668290.410083953,-5305.688953275795,8574.25981991202,-4676.433495417597
94,-58845513.14447695,29667940.35804857,-5305.688953275891,8574.259819911833,-4676.433495417589
95,-58844534.822033174,29668311.269632667,-5305.6889532759515,8574.259819912004,-4676.433495417639
96,-58844137.85455612,29671950.02861724,-5305.688953275835,8574.259819912018,-4676.4334954175965
97,-58843678.12523877,29674061.379759893,-5305.688953275837,8574.259819912002,-4676.433495417491
98,-58843345.103852704,29674746.880033124,-5305.688953275929,8574.259819911931,-4676.4334954176575
99,-58843227.545350984,29675991.848737586,-5305.688953275861,8574.259819911927,-4676.433495417673
100,-58843392.236768655,29679213.875549044,-5305.688953275819,8574.259819911831,-4676.433495417611
101,-58843818.24702694,29689292.20952685,-5305.688953275937,8574.25981991189,-4676.433495417557
102,-58844357.44896421,29718826.652668145,-5305.6889532758305,8574.25981991183,-4676.433495417521
103,-58845093.35316067,29720445.920371756,-5305.688953275823,8574.259819911887,-4676.433495417653
104,-58846321.93830919,29972766.281102933,-5305.688953275895,8574.259819912031,-4676.433495417683
105,-58847099.30666938,30721767.79662724,-5305.688953275956,8574.259819911938,-4676.433495417653
106,-58847908.051398136,30723313.632567678,-5305.6889532758305,8574.259819912048,-4676.433495417664
107,-58849051.58296719,30724863.294282835,-5305.688953275914,8574.259819911738,-4676.433495417609
108,-58850396.327667445,30727842.483671445,-5305.68895327575,8574.259819911815,-4676.433495417639
