i,U,K,Px,Py,Pz
30,-58927985.6364096,29748465.45085581,-5305.688953319889,8574.259819865092,-4676.433495404599
31,-58912223.96427365,29743328.657730862,-5305.688953319244,8574.259819868827,-4676.433495399571
32,-58896665.723600045,29741133.04520797,-5305.688953319925,8574.259819875142,-4676.43349539782
33,-58881820.21884769,29731559.691044863,-5305.688953321144,8574.25981987862,-4676.433495394922
34,-58867023.634795755,29726062.682735566,-5305.688953324373,8574.259819880152,-4676.43349539129
35,-58852687.18275473,29722587.8215813,-5305.688953323171,8574.259819879131,-4676.433495388895
36,-58838911.76956989,29716200.861883473,-5305.688953319531,8574.259819878625,-4676.433495389158
37,-58825646.327748686,29708981.641151518,-5305.688953320564,8574.259819881321,-4676.433495388614
38,-58813683.37421802,29700832.11633413,-5305.68895332023,8574.259819883337,-4676.433495384604
39,-58802263.826060005,29692262.485003404,-5305.688953321123,8574.259819885587,-4676.433495379876
40,-58791074.965751186,29687045.079329588,-5305.688953322438,8574.259819885332,-4676.433495378349
41,-58781452.96458279,29688079.115571525,-5305.688953320659,8574.259819882724,-4676.4334953812795
42,-58772453.92302676,29691062.453285266,-5305.688953319864,8574.259819880745,-4676.433495382061
43,-58764104.499095224,29685548.266910266,-5305.688953319222,8574.259819879626,-4676.43349538318
44,-58756426.06329,29681357.09349499,-5305.688953321933,8574.259819879322,-4676.43349538592
45,-58750366.32990256,29681997.09553654,-5305.688953326249,8574.259819880857,-4676.4334953858925
46,-58745184.73944051,29683806.343771216,-5305.688953329897,8574.25981988372,-4676.4334953873795
47,-58741567.832530364,29695657.61946089,-5305.688953331481,8574.259819889305,-4676.4334953903735
48,-58738683.89424111,29712440.215479754,-5305.688953327018,8574.259819886089,-4676.433495391878
49,-58736098.908832945,29713779.229214728,-5305.688953323812,8574.259819873621,-4676.433495391336
50,-58735037.577719405,29725243.593841072,-5305.6889533245285,8574.259819870214,-4676.433495383282
51,-58734258.428607695,29767362.585676573,-5305.68895332029,8574.259819874196,-4676.433495374409
52,-58733673.35595735,29861879.785382897,-5305.688953317343,8574.259819877063,-4676.433495373045
53,-58733318.5964865,29957674.970708907,-5305.688953317411,8574.259819879226,-4676.433495372616
54,-58733451.13101709,29964929.305276465,-5305.688953317506,8574.259819879064,-4676.433495373545
55,-58733812.5733159,29973153.587514587,-5305.688953318224,8574.259819877476,-4676.433495374464
56,-58734560.65486748,29978421.75196273,-5305.688953319705,8574.259819878087,-4676.433495372864
57,-58735161.54278728,29983240.794946056,-5305.688953318629,8574.259819878387,-4676.433495372667
58,-58736272.091531724,30004783.91276665,-5305.68895330987,8574.259819879244,-4676.433495370678
59,-58736826.39137332,30060383.76860768,-5305.688953304591,8574.259819881492,-4676.433495364574
60,-58736646.901892684,30068684.91928508,-5305.6889533027115,8574.259819882276,-4676.433495359171
61,-58736407.82147393,30072399.87268952,-5305.688953303083,8574.259819881507,-4676.433495358231
62,-58735672.64301507,30075964.294285197,-5305.688953305256,8574.25981988282,-4676.433495359954
63,-58734036.697105646,30078045.75075048,-5305.688953306882,8574.259819883717,-4676.433495358124
64,-58731777.95572426,30080601.59135797,-5305.6889533069825,8574.2598198824,-4676.433495354896
65,-58728680.20023502,30084634.946388356,-5305.688953307582,8574.259819884364,-4676.433495355518
66,-58724867.19698807,30091788.7619048,-5305.688953309491,8574.25981988753,-4676.433495358089
67,-58720152.42647842,30100840.5202712,-5305.688953306506,8574.259819885541,-4676.43349536256
68,-58714540.2664437,30104948.836557828,-5305.688953303341,8574.25981988445,-4676.433495364975
69,-58708389.14243562,30122907.752577543,-5305.6889533019685,8574.259819885436,-4676.433495367985
70,-58700563.400222674,30161695.539729368,-5305.688953298293,8574.259819882245,-4676.4334953706175
71,-58691550.52039895,30156245.134062227,-5305.688953293712,8574.259819879037,-4676.433495373589
72,-58681976.15697945,30153262.766535975,-5305.688953293523,8574.259819879177,-4676.433495379775
73,-58671049.95580132,30148258.123164684,-5305.688953298247,8574.259819879793,-4676.433495380415
74,-58659873.93603155,30140292.654186863,-5305.688953303074,8574.259819879424,-4676.433495377956
75,-58648255.46175254,30135673.374910038,-5305.68895330367,8574.259819880881,-4676.433495375827
76,-58635741.00846159,30140780.543763347,-5305.688953303014,8574.259819885374,-4676.4334953733
77,-58623211.35989539,30131301.2474263,-5305.688953302945,8574.259819888788,-4676.433495374323
78,-58609983.44917379,30148837.45879083,-5305.688953300521,8574.259819886229,-4676.433495376169
79,-58597003.83090244,30215837.684405293,-5305.688953301756,8574.2598198859,-4676.433495377438
80,-58583240.21052454,30209815.918428805,-5305.688953300984,8574.25981988917,-4676.433495378369
81,-58569244.141879655,30199475.35774657,-5305.688953293639,8574.259819890913,-4676.433495377999
82,-58554924.15208007,30190402.267598946,-5305.688953291888,8574.259819893965,-4676.43349537765
