i,U,K,Px,Py,Pz
307,-55799918.926134735,36990658.64245795,-5305.688953330912,8574.259819948653,-4676.433495296925
308,-55790841.681900054,37409936.740195125,-5305.688953325286,8574.259819949686,-4676.433495329595
309,-55780476.70192093,38678988.81129498,-5305.688953321669,8574.259819949335,-4676.433495365128
310,-55771229.43564239,38783959.74860912,-5305.688953322313,8574.259819949424,-4676.433495373105
311,-55759696.494202375,39095908.070917465,-5305.68895332413,8574.259819950417,-4676.433495378048
312,-55747762.2332722,39087011.10527805,-5305.688953327115,8574.259819950532,-4676.43349537886
313,-55736232.65265439,39082315.86000622,-5305.688953329102,8574.25981995034,-4676.43349537972
314,-55725430.81071541,39084422.5679485,-5305.688953329819,8574.259819949984,-4676.4334953792095
315,-55715579.530929476,39079000.596344806,-5305.6889533328085,8574.259819951669,-4676.433495380318
316,-55706271.46597543,39075562.148205094,-5305.688953336302,8574.259819952968,-4676.433495382276
317,-55696823.39414372,39073378.33320464,-5305.688953338373,8574.259819952016,-4676.433495384842
318,-55687705.93241934,39067041.119976565,-5305.68895334126,8574.259819954415,-4676.433495386333
319,-55678789.932355694,39063015.74195815,-5305.688953340778,8574.259819957104,-4676.433495385693
320,-55670157.7621361,39075066.27114549,-5305.688953339057,8574.259819955767,-4676.43349538487
321,-55661495.596291125,39117295.06593326,-5305.688953339553,8574.25981995425,-4676.433495385922
322,-55652572.58648557,39114279.50422151,-5305.688953337766,8574.259819953582,-4676.433495388544
323,-55644707.95790254,39114367.49252077,-5305.688953337282,8574.25981995181,-4676.433495391901
324,-55636999.27318702,39112037.1784545,-5305.688953338481,8574.259819952846,-4676.433495393515
325,-55629366.69338056,39117038.482520156,-5305.688953337331,8574.25981995684,-4676.433495391952
326,-55622039.397270925,39136425.91212708,-5305.688953336741,8574.259819956242,-4676.433495389112
327,-55614805.41815236,39132549.09567647,-5305.688953337593,8574.259819955723,-4676.433495387588
328,-55607777.95238628,39127345.23933727,-5305.688953338184,8574.259819957193,-4676.433495390032
329,-55600691.82767582,39124041.03579538,-5305.688953339237,8574.259819958208,-4676.43349539208
330,-55593158.215805285,39123380.51946567,-5305.6889533403055,8574.259819958914,-4676.433495391908
331,-55585835.44555983,39121887.813436605,-5305.688953337171,8574.259819959101,-4676.433495390384
332,-55577911.08388609,39119746.74250658,-5305.688953333505,8574.259819957459,-4676.433495390709
333,-55569707.70758825,39115268.432268284,-5305.688953331332,8574.259819953653,-4676.433495391982
334,-55560766.35576721,39112968.87344117,-5305.688953329721,8574.25981995155,-4676.433495390258
335,-55551449.4583445,39108622.66817663,-5305.688953327927,8574.25981994933,-4676.433495391232
336,-55541385.06587207,39106359.916980185,-5305.688953327303,8574.259819945239,-4676.4334953948355
337,-55530976.952622175,39102865.59868961,-5305.6889533275225,8574.259819943196,-4676.433495395633
338,-55520602.849855825,39099380.20458639,-5305.688953327532,8574.259819944189,-4676.4334953945545
339,-55510468.98441648,39095602.44877199,-5305.6889533318645,8574.259819946421,-4676.433495396673
340,-55499575.79591639,39101413.98093469,-5305.68895333663,8574.259819946486,-4676.433495397315
341,-55488643.07129502,39116361.37949712,-5305.688953339139,8574.25981994534,-4676.433495394923
342,-55478047.423158996,39115937.54068923,-5305.688953340483,8574.259819944282,-4676.433495393852
343,-55467292.24186568,39139290.541663095,-5305.688953337996,8574.259819940473,-4676.433495393661
344,-55455519.28225298,39237948.3216388,-5305.688953336255,8574.259819937652,-4676.433495391844
345,-55444226.972624324,39240058.96026718,-5305.68895333449,8574.259819937377,-4676.433495388401
346,-55432757.64587504,39236611.144302964,-5305.68895333263,8574.25981993872,-4676.4334953848875
347,-55421779.48314068,39229217.06347981,-5305.68895333504,8574.259819939436,-4676.433495382936
348,-55410805.24832139,39226339.75718771,-5305.688953336575,8574.25981993656,-4676.433495382205
349,-55400106.84153727,39231945.50243566,-5305.68895333421,8574.259819935123,-4676.433495381887
350,-55389555.28968308,39230690.99419038,-5305.68895333583,8574.259819935929,-4676.43349538134
351,-55378940.29386575,39228464.40557116,-5305.688953338207,8574.259819932637,-4676.433495380459
352,-55367765.4491823,39224680.874342754,-5305.688953339262,8574.259819927,-4676.4334953814905
353,-55356783.77350435,39222998.231699385,-5305.68895333919,8574.259819922083,-4676.433495383057
354,-55345438.54643217,39225988.194494754,-5305.688953340592,8574.259819920726,-4676.433495380139
355,-55333575.20243655,39221216.26386198,-5305.688953342559,8574.259819923118,-4676.433495376126
356,-55321140.46144831,39217872.75170359,-5305.68895334183,8574.259819926507,-4676.433495378455
357,-55307130.991856515,39206340.981068365,-5305.688953340916,8574.259819928347,-4676.433495380591
358,-55292267.741837084,39211686.57823466,-5305.688953339629,8574.259819925639,-4676.433495377934
359,-55276563.51765369,39234119.469275124,-5305.688953338541,8574.259819923365,-4676.433495373832
360,-55260399.496934965,39223004.29284393,-5305.688953340268,8574.25981992404,-4676.433495370791
361,-55243086.41297636,39210128.986562304,-5305.688953341805,8574.25981992271,-4676.43349537313
362,-55225491.632003695,39199780.44145067,-5305.688953339778,8574.259819922087,-4676.433495377326
363,-55207281.347051516,39188894.92531914,-5305.68895333602,8574.259819922476,-4676.433495378595
364,-55188861.062559,39174381.97884956,-5305.688953332242,8574.259819919847,-4676.433495378482
365,-55170315.14518684,39193839.51879176,-5305.68895332977,8574.259819917743,-4676.433495380593
366,-55151564.05306287,39276680.19558455,-5305.688953330533,8574.25981991873,-4676.4334953818925
367,-55132846.11118891,39264295.10219227,-5305.68895333209,8574.259819919367,-4676.4334953797215
368,-55113858.00541157,39253104.09648244,-5305.688953333024,8574.259819916279,-4676.433495376344
369,-55095911.741859555,39242161.04706283,-5305.688953336024,8574.259819914885,-4676.433495374164
370,-55077936.18370489,39231744.965509206,-5305.688953336839,8574.25981991666,-4676.433495372613
371,-55060388.39376305,39216877.096031174,-5305.688953333438,8574.259819915662,-4676.4334953715315
372,-55042850.28236099,39208190.310714886,-5305.688953329206,8574.259819914269,-4676.433495371569
373,-55026115.515741356,39205091.57237691,-5305.688953328605,8574.259819915449,-4676.43349537137
374,-55009674.015774526,39192480.38546401,-5305.688953330932,8574.259819917977,-4676.433495373103
375,-54994180.65990068,39183031.16458188,-5305.688953331923,8574.259819917826,-4676.433495374898
376,-54978157.61009985,39172592.33598023,-5305.688953332207,8574.259819914136,-4676.433495375648
377,-54963003.67886087,39164151.194038644,-5305.688953334959,8574.259819909355,-4676.43349537552
378,-54947609.02321567,39156497.747291714,-5305.688953335654,8574.259819905317,-4676.4334953769785
379,-54931961.94922093,39148775.33674722,-5305.688953335193,8574.259819902727,-4676.43349537856
380,-54916543.372311324,39144082.900869325,-5305.688953337877,8574.259819902247,-4676.43349537644
381,-54901342.610762775,39177720.45298135,-5305.68895333592,8574.259819903873,-4676.433495376055
382,-54885242.58345134,39296914.77589918,-5305.688953333423,8574.259819904064,-4676.433495378367
383,-54869634.37570006,39296469.37507487,-5305.688953336766,8574.259819904963,-4676.433495379299
384,-54854249.40812727,39314749.356212065,-5305.688953341165,8574.259819906114,-4676.433495381704
385,-54838968.82202689,39303217.48371039,-5305.688953344329,8574.25981990778,-4676.43349538678
386,-54823770.85759581,39289854.71559978,-5305.688953344766,8574.259819911582,-4676.4334953873
387,-54808674.923288375,39277336.88340848,-5305.688953346621,8574.259819909528,-4676.433495384872
388,-54794461.70958836,39266463.30173453,-5305.688953346601,8574.259819907833,-4676.4334953848975
389,-54780642.33117041,39308319.988057375,-5305.688953345569,8574.259819910727,-4676.433495387815
390,-54766989.498565905,39438241.2307169,-5305.688953346274,8574.259819911835,-4676.43349539153
391,-54753803.34168583,39431695.34290859,-5305.6889533458925,8574.259819910485,-4676.4334953936705
392,-54741273.494530104,39424027.64073255,-5305.68895334317,8574.259819908808,-4676.433495394159
393,-54730020.59089094,39416345.08639145,-5305.6889533399735,8574.25981991162,-4676.433495395835
394,-54719760.54944251,39411531.64011518,-5305.688953339353,8574.259819916122,-4676.433495394259
395,-54710914.9242031,39408497.07030743,-5305.68895333911,8574.25981991744,-4676.43349539156
396,-54702698.71506934,39408001.34522544,-5305.688953339123,8574.259819915855,-4676.433495391806
397,-54695235.07787058,39403886.97777994,-5305.6889533393705,8574.259819914385,-4676.433495393211
398,-54687816.02758045,39403195.95633752,-5305.688953339265,8574.259819914549,-4676.433495395154
399,-54681600.80863152,39413931.31535331,-5305.6889533389085,8574.259819912913,-4676.433495394828
400,-54675754.98860227,39443698.507056385,-5305.688953337722,8574.259819910081,-4676.433495392834
401,-54670293.42962772,39443226.455147356,-5305.688953335763,8574.2598199088,-4676.433495390781
402,-54665210.35133305,39450144.4766781,-5305.688953335296,8574.259819909848,-4676.433495387675
403,-54660007.717385165,39470710.45637727,-5305.68895333467,8574.259819910292,-4676.433495384494
404,-54655189.449889585,39468638.64103063,-5305.688953331637,8574.259819909103,-4676.433495382388
405,-54650150.218014404,39467867.285478264,-5305.688953330666,8574.259819906867,-4676.433495380726
406,-54646059.2620561,39469109.953345306,-5305.6889533288495,8574.259819904539,-4676.4334953791995
407,-54642297.896386,39573077.69121123,-5305.688953326085,8574.259819901414,-4676.433495382733
408,-54638175.598684564,39871838.457435675,-5305.688953322357,8574.25981989809,-4676.433495387713
409,-54634112.43013805,39871891.653900675,-5305.688953320164,8574.25981989423,-4676.433495385959
410,-54630448.51727077,39880120.40971503,-5305.688953319698,8574.259819890103,-4676.433495381308
411,-54628030.27170114,39907153.47697038,-5305.6889533163285,8574.259819887971,-4676.433495381308
412,-54626325.735321075,39920078.92551381,-5305.6889533137855,8574.25981988736,-4676.433495382798
413,-54624279.21477227,39926313.55768868,-5305.688953312992,8574.2598198856,-4676.4334953837415
414,-54622917.32212496,39940330.12062101,-5305.688953313359,8574.2598198834,-4676.433495385702
415,-54621437.536443874,39954578.32974222,-5305.688953313823,8574.259819881147,-4676.433495386645
416,-54619604.36840312,39968784.54552903,-5305.688953314047,8574.259819878207,-4676.433495385956
417,-54616848.5810948,39974474.63241796,-5305.688953315645,8574.259819875291,-4676.433495385103
418,-54614711.83996301,40011732.51535511,-5305.6889533163885,8574.259819875888,-4676.433495383919
419,-54611145.7325674,40127886.6064284,-5305.688953312854,8574.259819876945,-4676.433495383268
420,-54607027.15391909,40126828.87067844,-5305.688953309323,8574.259819876963,-4676.4334953834705
421,-54602408.797967196,40123645.94784491,-5305.688953307762,8574.259819879624,-4676.433495382513
422,-54597699.62078716,40121817.401979245,-5305.688953305936,8574.259819882322,-4676.433495381067
423,-54591639.78514833,40131223.11217394,-5305.688953305693,8574.259819883657,-4676.43349537967
424,-54584963.2456126,40154609.89630952,-5305.688953302988,8574.259819883026,-4676.433495380748
425,-54578039.65453709,40151743.51446942,-5305.688953301689,8574.259819884279,-4676.433495380036
426,-54570360.71322977,40152475.13946645,-5305.6889533036465,8574.259819885443,-4676.433495377443
427,-54561569.735477045,40154111.4011454,-5305.688953305007,8574.259819886656,-4676.433495379646
428,-54552902.89017942,40152673.830789916,-5305.688953303676,8574.259819888857,-4676.433495381862
429,-54543002.40422069,40156032.14656387,-5305.688953303455,8574.259819888044,-4676.433495380798
430,-54532041.739470676,40160385.26028182,-5305.688953305686,8574.259819886065,-4676.433495378898
431,-54520918.79444117,40151981.25976829,-5305.688953307753,8574.259819886278,-4676.433495380711
432,-54509796.990589246,40146306.998434,-5305.688953311152,8574.259819888437,-4676.433495383394
433,-54498278.93916185,40143183.867705904,-5305.688953314073,8574.259819887737,-4676.433495383972
434,-54485642.70330078,40141356.5084078,-5305.688953315238,8574.259819887144,-4676.433495384464
435,-54473724.230616026,40133434.31401948,-5305.688953316214,8574.259819886023,-4676.43349538432
436,-54461417.53445761,40128302.8587023,-5305.688953319698,8574.259819883207,-4676.433495385308
437,-54448826.0900703,40122117.23651682,-5305.6889533219255,8574.259819881421,-4676.433495385491
438,-54435682.02208645,40111984.65186016,-5305.688953323088,8574.259819879166,-4676.43349538458
439,-54422989.07486415,40102206.257748336,-5305.688953323081,8574.259819880637,-4676.433495384733
440,-54410059.399751924,40093752.696587004,-5305.688953322365,8574.25981988424,-4676.433495383898
441,-54397582.08627075,40087301.32945308,-5305.6889533180465,8574.25981988475,-4676.433495382316
442,-54385545.106510036,40126488.127418265,-5305.6889533102585,8574.259819883211,-4676.433495381149
443,-54373287.384185046,40249010.43407602,-5305.688953305142,8574.259819880986,-4676.433495381838
444,-54360808.04430504,40243671.931702115,-5305.688953303427,8574.259819879038,-4676.433495385358
445,-54348762.40614143,40237926.46640337,-5305.688953302522,8574.259819879639,-4676.43349538861
446,-54336539.17548362,40231920.64418398,-5305.688953301255,8574.2598198812,-4676.433495386218
447,-54324908.111672744,40225220.21890508,-5305.688953299516,8574.259819881983,-4676.433495382496
448,-54314197.10293411,40218400.94079506,-5305.688953296452,8574.259819881516,-4676.433495382669
449,-54303187.84452458,40214151.0708259,-5305.688953295104,8574.25981988116,-4676.433495383385
450,-54291921.63883446,40207445.94363976,-5305.688953296343,8574.259819881048,-4676.4334953835505
451,-54280870.87396321,40203095.897157736,-5305.688953296384,8574.259819880177,-4676.433495381578
452,-54269732.381805554,40198307.876805775,-5305.688953296418,8574.259819878383,-4676.433495380224
453,-54258434.28131154,40196622.622109205,-5305.688953300918,8574.259819876963,-4676.433495379762
454,-54247094.43087703,40187702.27402481,-5305.688953305394,8574.259819874898,-4676.433495378425
455,-54235442.5037214,40180225.605147436,-5305.688953307887,8574.25981987373,-4676.433495379481
456,-54223919.358785234,40172444.10601048,-5305.6889533096055,8574.259819874924,-4676.433495380766
457,-54212083.80572248,40164693.04152373,-5305.688953309761,8574.259819873867,-4676.433495379955
458,-54200153.28731171,40161430.98066142,-5305.688953311206,8574.25981987244,-4676.433495379657
459,-54188667.549918324,40163088.37978879,-5305.68895331449,8574.259819870456,-4676.433495380837
460,-54176601.52508308,40155699.96934,-5305.688953316196,8574.25981987027,-4676.433495382107
461,-54164727.86606105,40152293.583521195,-5305.68895331723,8574.259819871599,-4676.433495384351
462,-54152304.680745006,40149538.4342618,-5305.68895331783,8574.25981987382,-4676.433495387795
463,-54139551.97178352,40140032.04638695,-5305.688953318958,8574.259819875759,-4676.433495391053
464,-54127199.78689188,40159479.890198976,-5305.688953319411,8574.259819876,-4676.433495393576
465,-54113813.43133414,40227109.00367898,-5305.688953319142,8574.259819876746,-4676.433495395098
466,-54099501.51676642,40220000.4712777,-5305.688953321317,8574.25981987634,-4676.433495397588
467,-54085177.1536876,40208506.69290809,-5305.688953320964,8574.259819874298,-4676.433495397027
468,-54070747.98294125,40196249.480502434,-5305.688953319984,8574.259819873025,-4676.433495395754
469,-54055611.45333447,40184864.85923108,-5305.688953319363,8574.259819871344,-4676.4334953944835
470,-54040596.69493632,40173793.77735156,-5305.688953316404,8574.259819869329,-4676.433495393167
471,-54025301.3232916,40164293.59582812,-5305.688953316751,8574.2598198697,-4676.433495393082
472,-54009806.77016974,40156921.473654926,-5305.688953318028,8574.25981986924,-4676.433495395706
473,-53994250.74682849,40151058.22031888,-5305.688953318542,8574.259819868315,-4676.433495399088
474,-53979006.412557244,40141970.62219096,-5305.688953320219,8574.259819868068,-4676.433495397856
475,-53963753.145348705,40133805.12615158,-5305.688953319794,8574.259819866358,-4676.433495396826
476,-53948846.40023046,40120484.551968,-5305.688953318483,8574.259819865338,-4676.433495399079
477,-53934436.74171991,40112921.55876333,-5305.688953317354,8574.259819865749,-4676.433495400817
478,-53919301.14944112,40104949.48005892,-5305.688953316549,8574.259819866962,-4676.433495399068
479,-53905024.26757154,40097252.999343,-5305.688953316352,8574.259819867204,-4676.43349539654
480,-53890468.14423882,40098576.977904074,-5305.688953313487,8574.259819866678,-4676.433495392597
481,-53876599.343344204,40089992.51678278,-5305.688953312267,8574.259819868177,-4676.433495387569
482,-53862724.32592278,40089742.08602902,-5305.688953313358,8574.259819871711,-4676.433495385705
483,-53849034.57686134,40084986.30105793,-5305.688953313514,8574.25981987382,-4676.433495385139
484,-53835254.24205612,40079025.91305478,-5305.688953314068,8574.259819873958,-4676.433495381228
485,-53822318.950898424,40071407.05818656,-5305.688953313204,8574.259819871966,-4676.433495379349
486,-53809567.29498234,40063467.3163858,-5305.688953312509,8574.259819872734,-4676.433495382157
487,-53796857.08950693,40058078.58964372,-5305.6889533122085,8574.259819875151,-4676.433495383015
488,-53784774.811084546,40049101.8430037,-5305.688953313186,8574.2598198745,-4676.433495382506
489,-53773041.47973959,40043770.095968716,-5305.688953314818,8574.259819873341,-4676.433495380446
490,-53761900.10250905,40035743.115899555,-5305.688953314403,8574.25981987242,-4676.433495376389
491,-53751018.2624572,40040611.00684031,-5305.688953316792,8574.259819872828,-4676.433495375243
492,-53740295.682562925,40072200.771884635,-5305.688953321148,8574.259819872963,-4676.4334953745
493,-53730028.0272392,40068283.49105385,-5305.688953320661,8574.259819873725,-4676.433495375499
494,-53719493.092454426,40081272.927204214,-5305.688953320256,8574.259819875078,-4676.433495376553
495,-53709670.931290366,40307744.416034386,-5305.688953321681,8574.259819875448,-4676.43349537587
496,-53698967.622101925,40951116.970706694,-5305.6889533195,8574.259819874589,-4676.433495376938
497,-53687850.47806561,41018391.587054394,-5305.688953318802,8574.259819874296,-4676.433495376588
498,-53677237.38451397,41033246.702708445,-5305.688953318963,8574.259819874274,-4676.433495374669
499,-53667162.869814485,41024578.074419565,-5305.68895331972,8574.259819874078,-4676.433495375396
500,-53657218.23948492,41018092.950536706,-5305.688953321638,8574.259819874898,-4676.433495381641
