i,U,K,Px,Py,Pz,Ne
100,-77350383.05927958,40381432.73154329,-4244.5511626206635,6859.407855929585,-3741.1467963340756,50.0
101,-77279089.12309165,40321556.93585719,-4244.551162620669,6859.407855929569,-3741.146796334058,50.0
102,-77211959.58585988,40265694.475972675,-4244.551162620666,6859.407855929524,-3741.1467963340415,50.0
103,-77148030.0560643,40239975.69930655,-4244.551162620684,6859.407855929439,-3741.1467963340924,50.0
104,-77085979.3205838,40224083.03198994,-4244.551162620655,6859.4078559295685,-3741.1467963340438,52.0
105,-77025095.25499345,40167968.48131537,-4244.551162620706,6859.40785592951,-3741.1467963340556,54.0
106,-76966067.73354217,40141303.11455956,-4244.551162620715,6859.407855929524,-3741.1467963341324,54.0
107,-76908482.41744477,40117787.76528633,-4244.551162620733,6859.407855929503,-3741.1467963341015,54.0
108,-76851839.96609221,40094971.20883343,-4244.551162620667,6859.407855929587,-3741.146796334053,54.0
109,-76794822.85744375,40108668.28787424,-4244.551162620645,6859.407855929629,-3741.1467963340724,54.0
110,-76737202.79798536,40070209.83053915,-4244.551162620649,6859.4078559296095,-3741.1467963340424,56.0
111,-76676780.46013333,40033936.09317697,-4244.5511626207135,6859.407855929494,-3741.1467963339524,56.0
112,-76619337.89524323,40010971.13733557,-4244.551162620586,6859.407855929574,-3741.146796334206,56.0
113,-76564235.93874574,39986692.83238099,-4244.551162620543,6859.407855929655,-3741.1467963340847,57.0
114,-76510507.97820644,39952888.79055011,-4244.551162620683,6859.4078559294585,-3741.1467963340256,57.0
115,-76458875.98264089,39922668.508307,-4244.551162620528,6859.407855929598,-3741.146796334115,57.0
116,-76406692.36839403,39918508.772472434,-4244.551162620711,6859.4078559294885,-3741.146796334137,57.0
117,-76353625.50183105,39864861.68717044,-4244.551162620685,6859.407855929576,-3741.146796333974,59.0
118,-76297677.99758029,39844945.26401584,-4244.551162620675,6859.40785592958,-3741.146796334123,59.0
119,-76240804.54593448,39787654.821039446,-4244.551162620629,6859.407855929569,-3741.14679633403,61.0
120,-76184751.67677872,39744498.048038386,-4244.5511626207435,6859.4078559295685,-3741.1467963342693,61.0
121,-76128528.58084734,39711883.289992645,-4244.551162620684,6859.407855929598,-3741.1467963340756,61.0
122,-76072200.98667878,39699992.18571664,-4244.551162620658,6859.407855929509,-3741.146796334166,61.0
123,-76015856.43709144,39682968.7761872,-4244.551162620674,6859.407855929506,-3741.1467963340665,61.0
124,-75957648.78162423,39697188.98952195,-4244.551162620658,6859.407855929565,-3741.146796334124,61.0
125,-75898649.08825289,39629371.27030453,-4244.5511626206735,6859.407855929609,-3741.146796334079,63.0
126,-75837781.20678842,39612581.41596615,-4244.551162620732,6859.407855929588,-3741.146796334043,63.0
127,-75775637.84304264,39576192.76527119,-4244.5511626207835,6859.40785592965,-3741.1467963341397,63.0
128,-75713455.90740745,39536128.33976095,-4244.551162620682,6859.407855929545,-3741.1467963340842,63.0
129,-75649784.0159429,39530306.27183308,-4244.551162620632,6859.407855929524,-3741.146796334027,63.0
130,-75585607.78234072,39494497.39282073,-4244.551162620669,6859.407855929517,-3741.1467963340406,63.0
131,-75521244.367131,39456537.99927909,-4244.551162620627,6859.40785592959,-3741.146796334149,63.0
132,-75456365.5331636,39408707.17345178,-4244.551162620617,6859.407855929558,-3741.146796334094,63.0
133,-75391098.76919875,39378721.520394094,-4244.551162620515,6859.407855929618,-3741.1467963341274,64.0
134,-75325915.29738839,39315914.74757435,-4244.551162620649,6859.407855929596,-3741.1467963340874,65.0
135,-75261115.20242402,39276236.35295951,-4244.551162620608,6859.40785592966,-3741.1467963339965,65.0
136,-75196553.79052934,39246866.38547505,-4244.551162620714,6859.407855929457,-3741.1467963341133,65.0
137,-75132740.92921542,39223131.12168122,-4244.551162620628,6859.407855929534,-3741.1467963340688,65.0
138,-75067839.77403878,39210713.88567216,-4244.551162620668,6859.407855929651,-3741.1467963340688,65.0
139,-75002579.92932189,39162269.65863781,-4244.551162620732,6859.407855929553,-3741.146796334115,65.0
140,-74936431.13213053,39121789.290389836,-4244.551162620521,6859.4078559295485,-3741.146796334069,65.0
141,-74870172.82658899,39086308.794188075,-4244.551162620691,6859.407855929575,-3741.1467963341593,65.0
142,-74801055.6759369,39043465.449134886,-4244.551162620578,6859.407855929565,-3741.1467963340747,65.0
143,-74731964.7534896,39016923.8020217,-4244.551162620774,6859.407855929544,-3741.1467963340806,65.0
144,-74660626.27939251,38974013.12247928,-4244.551162620688,6859.407855929598,-3741.146796334129,65.0
145,-74588306.29814956,38935396.99297638,-4244.551162620655,6859.407855929561,-3741.146796334106,65.0
146,-74516983.97104256,38905684.08731564,-4244.551162620706,6859.407855929569,-3741.1467963341283,65.0
147,-74445799.39865579,38852990.39841479,-4244.551162620663,6859.407855929488,-3741.146796334112,65.0
148,-74374073.1452926,38799823.29420072,-4244.551162620587,6859.4078559296095,-3741.1467963340374,65.0
149,-74302969.16829649,38745412.774666354,-4244.551162620619,6859.407855929548,-3741.146796334134,65.0
150,-74233217.98487097,38693851.72460138,-4244.551162620736,6859.407855929576,-3741.1467963341056,65.0
151,-74163380.1715775,38640614.122168876,-4244.551162620697,6859.407855929527,-3741.146796334077,65.0
152,-74093639.8541973,38587161.47284585,-4244.551162620623,6859.407855929594,-3741.146796334089,65.0
153,-74025240.26670499,38542029.814824,-4244.551162620699,6859.4078559294985,-3741.146796334123,65.0
154,-73960321.20898175,38516953.02483187,-4244.551162620636,6859.40785592957,-3741.1467963340992,65.0
155,-73899788.57921994,38469240.34439198,-4244.551162620745,6859.407855929609,-3741.1467963340406,65.0
156,-73844238.63558176,38433139.646100774,-4244.551162620587,6859.407855929606,-3741.146796334067,65.0
157,-73794015.35903153,38413463.62632652,-4244.55116262064,6859.40785592961,-3741.1467963340547,65.0
158,-73747777.91216195,38412084.88382747,-4244.551162620644,6859.407855929644,-3741.1467963340756,67.0
159,-73704214.51837865,38388152.17241173,-4244.551162620645,6859.407855929589,-3741.1467963341092,67.0
160,-73665814.23179084,38371287.31131949,-4244.551162620605,6859.407855929686,-3741.146796334122,67.0
161,-73629719.62398021,38388529.51140793,-4244.551162620598,6859.407855929565,-3741.146796334079,67.0
162,-73597080.23853666,38449956.909218155,-4244.551162620664,6859.407855929526,-3741.146796334046,67.0
163,-73565858.89084092,38376157.15075616,-4244.551162620714,6859.407855929542,-3741.146796334083,71.0
164,-73534780.13496582,38395258.32854461,-4244.551162620722,6859.407855929659,-3741.1467963340547,71.0
165,-73504447.6648674,38379802.49397112,-4244.55116262066,6859.4078559296,-3741.1467963340774,71.0
166,-73475094.17859128,38372998.78333998,-4244.55116262065,6859.407855929491,-3741.146796334087,71.0
167,-73446568.30609748,38371340.175677784,-4244.551162620583,6859.407855929453,-3741.146796334104,71.0
168,-73419810.098458,38385373.58339411,-4244.551162620688,6859.407855929441,-3741.146796334096,71.0
169,-73392766.55183217,38372008.0366565,-4244.551162620642,6859.407855929553,-3741.146796334096,71.0
170,-73367019.83664617,38378437.037392676,-4244.551162620649,6859.407855929565,-3741.146796334102,71.0
171,-73342546.38046306,38406660.126287155,-4244.55116262066,6859.407855929661,-3741.1467963340656,71.0
172,-73319543.28548981,38399727.19492778,-4244.551162620679,6859.407855929516,-3741.1467963341483,71.0
173,-73298595.25829506,38391685.21300365,-4244.551162620566,6859.407855929608,-3741.1467963340683,71.0
174,-73280077.06388104,38388865.24846355,-4244.551162620602,6859.4078559295895,-3741.1467963340892,71.0
175,-73263580.18478897,38384133.56826803,-4244.5511626206,6859.407855929483,-3741.146796334103,73.0
176,-73245379.52737902,38381628.089751445,-4244.551162620672,6859.4078559296495,-3741.1467963341024,73.0
177,-73228921.50055295,38383647.8499283,-4244.551162620683,6859.4078559294285,-3741.146796334102,73.0
178,-73211752.55239889,38386815.935745165,-4244.551162620719,6859.40785592947,-3741.1467963340906,75.0
179,-73192342.4906378,38378120.36337424,-4244.551162620573,6859.407855929629,-3741.146796334118,75.0
180,-73171814.06737289,38378856.26870169,-4244.551162620709,6859.4078559296,-3741.1467963340656,75.0
